id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011300098;1;AU;M;80;SI;X;BR;8
D011300098;2;AU;F;71;SI;X;BR;8
D011300099;1;MO;F;41;SI;X;BR;5
D011300100;1;MO;M;25;SI;X;BR;8
D011300100;2;MO;M;41;SI;X;BR;5
D011300101;1;AU;F;44;SI;X;BR;5
D011300101;2;MO;M;19;SI;X;BR;5
D011300102;1;AU;F;69;SI;X;BR;5
D011300102;2;MO;M;30;SI;X;BR;5
D011300103;1;AU;M;20;SI;X;BR;5
D011300104;1;CA;M;46;SI;X;BR;3
D011300104;2;AU;F;44;SI;X;BR;6
D011300105;1;CM;M;44;SI;X;BR;2
D011300106;1;AU;F;42;SI;X;BR;8
D011300107;1;CM;M;28;SI;X;BR;5
D011300107;2;MO;M;29;SI;X;BR;8
D011300108;1;AU;M;58;SI;X;BR;2
D011300108;2;MO;M;37;SI;X;BR;3
D011300109;1;AU;M;20;SI;X;BR;5
D011300109;2;MO;M;37;SI;X;BR;7
D011300110;1;AU;F;38;SI;X;BR;7
D011300110;2;AU;M;19;SI;X;BR;5
D011300111;1;AU;F;53;SI;X;BR;7
D011300112;1;AU;M;33;SI;X;BR;7
D011300112;2;MO;M;38;SI;X;BR;3
D011300113;1;AU;M;38;SI;X;BR;3
D011300113;2;MO;M;22;SI;X;BR;5
D011300113;3;MO;M;27;SI;X;BR;5
D011300114;1;AU;F;19;SI;X;BR;5
D011300114;2;MO;M;44;SI;X;BR;7
D011300115;1;AU;F;48;SI;X;BR;7
D011300115;2;MO;M;33;SI;X;BR;5
D011300116;1;AU;F;43;SI;X;BR;7
D011300116;2;MO;M;38;SI;X;BR;2
D011300117;1;AU;F;32;SI;X;BR;7
D011300117;2;MO;M;24;SI;X;BR;3
D011300118;1;CM;M;41;SI;X;BR;3
D011300118;2;CM;M;36;SI;X;BR;5
D011300118;3;MO;M;27;SI;X;BR;7
D011300119;1;MO;M;29;SI;X;BR;5
D011300119;2;MC;M;42;SI;X;BR;4
D011300120;1;CA;M;42;SI;X;BR;3
D011300121;1;MO;M;43;SI;X;BR;5
D011300122;1;MO;M;29;SI;X;BR;3
D011300122;2;CM;M;66;SI;X;BR;3
D011300123;1;MO;M;31;SI;X;BR;5
D011300123;2;AU;M;64;SI;X;BR;5
D011300124;1;AU;M;SI;SI;X;BR;8
D011300125;1;AU;M;31;SI;X;BR;7
D011300125;2;BI;M;22;NE;X;BR;8
D011300126;1;AU;M;59;SI;X;BR;8
D011300126;2;MO;X;SI;SI;X;BR;8
D011300127;1;SI;X;SI;SI;X;BR;8
D011300128;1;AU;F;37;SI;X;BR;7
D011300128;2;AU;M;52;SI;X;BR;5
D011300129;1;MO;M;39;SI;X;BR;2
D011300129;2;MO;M;41;SI;X;BR;3
D011300130;1;SI;X;SI;SI;X;BR;8
D011300131;1;MO;F;36;SI;X;BR;5
D011300132;1;AU;M;26;SI;X;BR;5
D011300132;2;AU;M;31;SI;X;BR;7
D011300133;1;AU;M;30;HA;X;BR;7
D011300133;2;AU;M;25;SI;X;BR;8
D011300134;1;ON;M;49;SI;X;BR;3
D011300134;2;MO;M;48;SI;X;BR;8
D011300135;1;AU;M;20;SI;X;BR;5
D011300135;2;MO;M;30;SI;X;BR;5
D011300136;1;AU;M;27;SI;X;BR;3
D011300136;2;MO;M;41;SI;X;BR;5
D011300137;1;CM;M;20;SI;X;BR;3
D011300137;2;AU;M;18;SI;X;BR;4
D011300138;1;AU;M;50;SI;X;BR;3
D011300138;2;MO;M;45;SI;X;BR;8
D011300140;1;AU;M;44;SI;X;BR;5
D011300140;2;MO;M;29;SI;X;BR;3
D011300141;1;MO;M;57;SI;X;BR;5
D011300141;2;AU;F;58;SI;X;BR;7
D011300141;3;AU;M;37;SI;X;BR;8
D011300142;1;AU;M;30;SI;X;BR;2
D011300142;2;MO;M;55;SI;X;BR;5
D011300143;1;MO;M;35;SI;X;BR;3
D011300143;2;MO;M;31;SI;X;BR;5
D011300144;1;AU;M;34;SI;X;BR;5
D011300144;2;MO;M;34;SI;X;BR;8
D011300145;1;AU;M;72;SI;X;BR;3
D011300145;2;MO;M;34;SI;X;BR;5
D011300146;1;ON;M;47;SI;X;BR;3
D011300146;2;CA;M;34;SI;X;BR;8
D011300147;1;AU;F;26;SI;X;BR;7
D011300148;1;CM;M;46;SI;X;BR;5
D011300148;2;CM;M;47;SI;X;BR;7
D011300149;1;CA;X;SI;SI;X;BR;8
D011300150;1;MO;M;SI;SI;X;BR;8
D011300151;1;AU;M;22;SI;X;BR;3
D011300151;2;MO;M;30;SI;X;BR;3
D011300152;1;SI;X;SI;SI;X;BR;8
D011300154;1;MO;M;29;HA;X;BR;4
D011300154;2;AU;M;30;SI;X;BR;6
D011300155;1;OU;M;SI;HA;X;BR;8
D011300156;1;AU;M;35;SI;X;BR;7
D011300156;2;MO;F;38;SI;X;BR;7
D011300157;1;AU;M;80;SI;X;BR;3
D011300157;2;OU;M;51;HA;X;BR;3
D011300158;1;CM;M;63;SI;X;BR;5
D011300158;2;BI;M;25;NE;X;BR;5
D011300159;1;AU;M;29;SI;X;BR;7
D011300159;2;MO;M;36;SI;X;BR;2
D011300160;1;AU;F;44;HA;X;BR;7
D011300160;2;MO;M;26;SI;X;BR;3
D011300161;1;CA;X;SI;SI;X;BR;8
D011300162;1;AU;X;SI;SI;X;BR;8
D011300162;2;BI;M;32;NE;X;BR;3
D011300163;1;MO;M;33;SI;X;BR;4
D011300164;1;CA;M;48;SI;X;BR;5
D011300164;2;AU;M;41;SI;X;BR;3
D011300164;3;CM;M;28;SI;X;BR;6
D011300165;1;MO;M;22;SI;X;BR;5
D011300165;2;AU;X;SI;SI;X;BR;8
D011300166;1;AU;M;38;HA;X;BR;5
D011300167;1;AU;F;33;SI;X;BR;7
D011300168;1;AU;M;20;SI;X;BR;8
D011300169;1;AU;M;33;IN;X;BR;5
D011300170;1;BI;F;27;NE;X;BR;7
D011300170;2;BI;X;SI;NE;X;BR;8
D011300171;1;MO;M;43;SI;X;BR;3
D011300171;2;CM;M;33;SI;X;BR;8
D011300172;1;AU;M;40;SI;X;BR;7
D011300173;1;MO;M;35;SI;X;BR;5
D011300173;2;AU;M;52;SI;X;BR;8
D011300174;1;AU;M;39;SI;X;BR;8
D011300174;2;CM;M;44;SI;X;BR;5
D011300175;1;AU;M;20;IN;X;SA;4
D011300175;2;AU;M;40;SI;X;BR;2
D011300176;1;AU;M;SI;SI;X;BR;8
D011300177;1;AU;M;44;HA;X;BR;7
D011300178;1;AU;M;33;SI;X;BR;3
D011300179;1;MO;M;31;SI;X;BR;4
D011300180;1;MO;M;26;HA;X;BR;5
D011300181;1;SI;X;SI;SI;X;BR;8
D011300182;1;AU;M;39;SI;X;BR;5
D011300183;1;MO;M;34;HA;X;BR;3
D011300183;2;AU;M;90;HA;X;BR;7
D011300184;1;OU;X;SI;SI;X;BR;8
D011300185;1;AU;F;SI;SI;X;BR;8
D011300186;1;MO;M;38;SI;X;BR;5
D011300187;1;AU;M;34;SI;X;BR;3
D011300187;2;MO;M;33;IN;X;BR;6
D011300188;1;AU;F;48;SI;X;BR;7
D011300188;2;MO;M;39;SI;X;BR;7
D011300189;1;AU;M;31;SI;X;BR;5
D011300189;2;OT;F;67;SI;X;BR;8
D011300190;1;CM;F;39;SI;X;BR;7
D011300190;2;CM;M;SI;SI;X;BR;8
D011300191;1;AU;M;27;SI;X;BR;3
D011300192;1;CA;M;41;SI;X;BR;2
D011300192;2;AU;F;50;SI;X;BR;7
D011300193;1;AU;F;61;SI;X;BR;8
D011300193;2;MO;M;23;SI;X;BR;5
D011300194;1;CM;F;SI;SI;X;BR;8
D011300194;2;MO;M;SI;SI;X;BR;8
D011300195;1;AU;F;27;SI;X;BR;7
D011300195;2;MO;M;41;SI;X;BR;5
D011300196;1;AU;F;32;SI;X;BR;7
D011300196;2;AU;M;39;SI;X;BR;5
D011300197;1;AU;M;63;SI;X;BR;3
D011300197;2;MO;M;34;SI;X;BR;8
D011300198;1;AU;M;26;SI;X;BR;5
D011300199;1;SI;X;SI;SI;X;BR;8
D011300200;1;MO;M;33;SI;X;BR;5
D011300201;1;OU;M;44;HA;X;BR;2
D011300202;1;AU;M;29;SI;X;BR;3
D011300203;1;MO;M;18;SI;X;BR;5
D011300203;2;AU;M;SI;SI;X;BR;8
D011300204;1;MO;M;49;SI;X;BR;7
D011300204;2;AU;M;58;SI;X;BR;3
D011300205;1;MO;M;29;HA;X;BR;5
D011300205;2;AU;M;35;HA;X;BR;4
D011300206;1;OU;M;53;HA;X;BR;3
D011300207;1;AU;M;58;SI;X;BR;3
D011300207;2;AU;M;26;SI;X;BR;6
D011300208;1;AU;M;21;SI;X;BR;6
D011300208;2;AU;F;SI;SI;X;BR;8
D011300209;1;AU;M;27;SI;X;BR;5
D011300209;2;AU;M;56;SI;X;BR;7
D011300210;1;MO;M;30;SI;X;BR;7
D011300210;2;AU;M;23;SI;X;BR;5
D011300211;1;MO;M;SI;SI;X;BR;8
D011300211;2;AU;F;33;SI;X;BR;7
D011300212;1;AU;M;33;SI;X;BR;5
D011300213;1;MO;M;23;IN;X;BR;5
D011300213;2;AU;M;46;SI;X;BR;7
D011300214;1;AU;M;25;SI;X;BR;3
D011300214;2;CM;M;32;SI;X;BR;7
D011300215;1;SI;X;SI;SI;X;BR;8
D011300215;2;MO;M;40;SI;X;BR;5
D011300216;1;AU;M;33;SI;X;BR;7
D011300216;2;AU;M;48;SI;X;BR;5
D011300217;1;ON;X;SI;SI;X;BR;8
D011300218;1;MO;M;34;SI;X;BR;3
D011300218;2;AU;M;28;SI;X;BR;3
D011300219;1;OU;M;50;HA;X;BR;3
D011300220;1;AU;M;32;SI;X;BR;5
D011300221;1;MO;M;29;SI;X;BR;6
D011300221;2;AU;F;31;SI;X;BR;7
D011300222;1;AU;M;57;SI;X;BR;5
D011300222;2;AU;M;22;IN;X;SA;3
D011300222;3;AU;F;55;SI;X;BR;7
D011300223;1;MO;M;28;SI;X;BR;3
D011300223;2;AU;M;61;SI;X;BR;7
D011300225;1;CM;M;55;SI;X;BR;5
D011300226;1;SI;X;SI;SI;X;BR;8
D011300227;1;CM;M;44;SI;X;BR;3
D011300227;2;MO;M;31;SI;X;BR;3
D011300228;1;AU;M;SI;SI;X;BR;8
D011300228;2;MO;M;28;SI;X;BR;3
D011300229;1;AU;X;SI;SI;X;BR;8
D011300229;2;BI;M;30;NE;X;BR;5
D011300230;1;AU;M;46;SI;X;BR;8
D011300230;2;MO;M;SI;SI;X;BR;8
D011300231;1;MO;M;SI;SI;X;BR;8
D011300232;1;AU;M;40;SI;X;BR;5
D011300232;2;MO;M;50;SI;X;BR;5
D011300234;1;AU;M;63;SI;X;BR;8
D011300234;2;BI;M;51;NE;X;BR;3
D011300235;1;AU;F;49;HA;X;BR;7
D011300235;2;MO;M;25;HA;X;BR;3
D011300236;1;CA;M;54;SI;X;BR;5
D011300236;2;MO;M;25;SI;X;BR;5
D011300238;1;AU;M;51;SI;X;AA;3
D011300239;1;MO;X;SI;SI;X;BR;8
D011300240;1;MO;M;29;SI;X;BR;5
D011300240;2;AU;M;46;SI;X;AA;3
D011300241;1;CM;M;24;SI;X;BR;5
D011300241;2;CM;M;36;SI;X;BR;5
D011300242;1;MO;M;28;SI;X;BR;5
D011300243;1;AU;X;SI;SI;X;BR;8
D011300244;1;MO;M;24;SI;X;BR;5
D011300244;2;AU;F;SI;SI;X;BR;8
D011300245;1;MO;M;22;SI;X;BR;3
D011300245;2;AU;M;42;SI;X;BR;5
D011300246;1;AU;M;78;SI;X;BR;8
D011300247;1;MO;M;34;SI;X;BR;5
D011300247;2;AU;F;SI;SI;X;BR;8
D011300249;1;MO;M;28;SI;X;BR;3
D011300249;2;AU;M;75;IN;X;BR;8
D011300251;1;AU;F;35;SI;X;BR;7
D011300251;2;AU;M;30;SI;X;BR;5
D011300251;3;AU;M;19;SI;X;BR;5
D011300251;4;ON;M;31;SI;X;BR;5
D011300252;1;AU;M;19;HA;X;BR;3
D011300253;1;MO;M;30;SI;X;BR;5
D011300253;2;CA;M;47;SI;X;BR;5
D011300254;1;MO;M;24;SI;X;BR;2
D011300254;2;AU;M;SI;SI;X;BR;8
D011300255;1;MO;M;34;SI;X;BR;8
D011300256;1;MO;M;19;SI;X;BR;5
D011300256;2;AU;F;25;SI;X;BR;5
D011300257;1;MO;M;37;SI;X;BR;7
D011300257;2;AU;M;SI;SI;X;BR;8
D011300257;3;CM;M;SI;SI;X;BR;8
D011300258;1;MO;M;30;SI;X;BR;5
D011300259;1;AU;F;62;SI;X;BR;7
D011300259;2;AU;M;36;SI;X;BR;7
D011300259;3;AU;F;32;SI;X;BR;7
D011300260;1;MO;M;23;SI;X;BR;5
D011300260;2;AU;F;68;SI;X;BR;7
D011300261;1;OU;M;46;HA;X;BR;3
D011300262;1;MO;M;35;SI;X;BR;3
D011300262;2;AU;M;45;SI;X;BR;3
D011300263;1;ON;M;44;SI;X;BR;4
D011300263;2;BI;F;30;NE;X;BR;7
