id_acidente;id_veiculo;tipo_veiculo;sexo_condutor;idade_condutor;categoria_habilitacao;usa_cinto_seguranca;estado_alcoolizacao;escolaridade
D011300928;1;AU;M;24;SI;X;BR;3
D011300928;2;AU;M;34;SI;X;BR;3
D011300929;1;MO;M;31;SI;X;BR;2
D011300929;2;AU;M;29;SI;X;BR;5
D011300930;1;AU;M;22;SI;X;BR;5
D011300931;1;AU;M;61;SI;X;BR;5
D011300931;2;AU;F;43;SI;X;BR;5
D011300932;1;AU;M;22;IN;X;BR;3
D011300935;1;MO;M;32;IN;X;BR;2
D011300935;2;AU;F;SI;SI;X;BR;5
D011300936;1;AU;M;26;SI;X;BR;5
D011300937;1;CM;M;50;SI;X;BR;8
D011300937;2;BI;M;47;NE;X;BR;3
D011300938;1;AU;M;55;SI;X;BR;5
D011300938;2;AU;M;57;SI;X;BR;8
D011300939;1;AU;F;22;IN;X;BR;5
D011300939;2;OU;M;48;HA;X;BR;2
D011300940;1;MO;M;25;SI;X;BR;5
D011300941;1;AU;M;20;IN;X;BR;5
D011300942;1;MO;M;27;SI;X;BR;3
D011300942;2;AU;M;SI;SI;X;BR;8
D011300943;1;MO;M;32;SI;X;AA;5
D011300944;1;MO;M;34;SI;X;BR;8
D011300944;2;AU;M;26;HA;X;BR;3
D011300945;1;MO;M;20;SI;X;BR;3
D011300945;2;AU;M;35;SI;X;BR;7
D011300946;1;AU;X;SI;SI;X;BR;8
D011300946;2;AU;M;29;SI;X;BR;5
D011300947;1;AU;M;21;HA;X;BR;5
D011300947;2;AU;M;26;HA;X;BR;5
D011300947;3;AU;M;25;HA;X;BR;5
D011300949;1;MO;M;30;SI;X;BR;4
D011300949;2;ON;M;51;SI;X;BR;3
D011300950;1;AU;M;43;SI;X;BR;5
D011300951;1;MO;M;27;IN;X;BR;2
D011300952;1;MO;M;34;SI;X;BR;5
D011300954;1;MO;M;21;SI;X;BR;3
D011300954;2;AU;M;29;SI;X;BR;3
D011300955;1;MO;M;25;SI;X;BR;3
D011300955;2;AU;F;31;SI;X;BR;7
D011300955;3;AU;M;62;SI;X;BR;7
D011300955;4;AU;M;46;SI;X;BR;7
D011300956;1;MO;M;27;HA;X;BR;3
D011300957;1;SI;X;SI;SI;X;BR;8
D011300957;2;MO;M;43;SI;X;BR;5
D011300958;1;AU;M;22;SI;X;BR;6
D011300959;1;MO;M;29;SI;X;BR;3
D011300960;1;MO;M;48;SI;X;BR;3
D011300961;1;MO;M;22;SI;X;BR;5
D011300962;1;AU;M;33;SI;X;BR;7
D011300964;1;AU;F;26;HA;X;BR;7
D011300964;2;MO;M;26;HA;X;BR;3
D011300965;1;AU;X;SI;SI;X;BR;8
D011300965;2;MO;M;25;SI;X;BR;8
D011300966;1;AU;F;35;SI;X;BR;7
D011300967;1;AU;M;34;SI;X;BR;6
D011300968;1;AU;M;42;SI;X;AA;7
D011300969;1;MO;M;25;IN;X;BR;3
D011300969;2;AU;M;77;SI;X;BR;7
D011300970;1;AU;M;19;SI;X;BR;3
D011300970;2;AU;X;SI;SI;X;BR;8
D011300971;1;MO;M;21;SI;X;BR;5
D011300971;2;AU;F;SI;SI;X;BR;8
D011300972;1;SI;X;SI;SI;X;BR;8
D011300973;1;MO;M;33;SI;X;BR;5
D011300973;2;AU;M;45;SI;X;BR;7
D011300974;1;MO;M;38;SI;X;BR;5
D011300974;2;AU;M;26;SI;X;BR;5
D011300975;1;MO;M;25;HA;X;BR;5
D011300975;2;AU;M;53;HA;X;BR;3
D011300976;1;MO;M;25;HA;X;BR;3
D011300977;1;MO;M;36;SI;X;BR;5
D011300977;2;AU;M;SI;SI;X;BR;8
D011300979;1;MO;M;22;SI;X;BR;2
D011300980;1;ON;M;48;SI;X;BR;3
D011300981;1;MO;M;20;SI;X;BR;7
D011300981;2;SI;F;SI;SI;X;BR;8
D011300982;1;AU;F;44;HA;X;BR;5
D011300982;2;MO;M;18;IN;X;BR;3
D011300983;1;CA;M;35;SI;X;BR;8
D011300983;2;CA;M;39;SI;X;BR;5
D011300985;1;AU;M;22;HA;X;BR;8
D011300986;1;MO;M;38;SI;X;BR;5
D011300986;2;MO;F;25;SI;X;BR;5
D011300987;1;MO;M;40;SI;X;BR;8
D011300988;1;ON;M;61;SI;X;BR;2
D011300988;2;BI;M;19;NE;X;BR;3
D011300989;1;MO;M;33;SI;X;BR;5
D011300989;2;AU;M;39;SI;X;BR;7
D011300990;1;MO;M;51;SI;X;BR;3
D011300990;2;AU;M;54;SI;X;BR;5
D011300991;1;AU;M;35;SI;X;BR;5
D011300991;2;MO;M;42;IN;X;BR;3
D011300992;1;ON;X;SI;SI;X;BR;8
D011300993;1;AU;F;SI;SI;X;BR;8
D011300993;2;AU;F;49;SI;X;BR;5
D011300994;1;MO;M;30;SI;X;BR;5
D011300994;2;AU;M;SI;SI;X;BR;8
D011300995;1;MO;M;20;SI;X;BR;5
D011300996;1;CM;M;26;SI;X;BR;3
D011300997;1;AU;M;19;SI;X;BR;5
D011300998;1;AU;M;49;SI;X;BR;5
D011300998;2;MO;M;33;SI;X;BR;5
D011300998;3;AU;F;32;SI;X;BR;5
D011300999;1;MO;M;24;SI;X;BR;6
D011300999;2;AU;M;55;SI;X;BR;7
D011301000;1;MO;M;34;HA;X;BR;5
D011301000;2;CM;M;36;SI;X;BR;5
D011301001;1;ON;M;35;SI;X;BR;5
D011301001;2;CA;M;42;SI;X;BR;2
D011301001;3;AU;M;50;SI;X;BR;5
D011301002;1;MO;M;25;SI;X;BR;5
D011301002;2;AU;M;37;SI;X;BR;5
D011301003;1;AU;M;40;HA;X;BR;8
D011301004;1;AU;M;39;HA;X;BR;7
D011301004;2;MO;M;33;HA;X;BR;3
D011301005;1;AU;M;32;SI;X;BR;5
D011301005;2;MO;M;19;IN;X;BR;2
D011301006;1;AU;M;27;SI;X;BR;7
D011301006;2;MO;M;39;HA;X;BR;5
D011301007;1;AU;M;31;SI;X;BR;5
D011301008;1;AU;F;34;SI;X;BR;5
D011301008;2;AU;M;47;SI;X;BR;7
D011301008;3;MO;M;30;SI;X;BR;7
D011301009;1;ON;M;30;SI;X;BR;8
D011301009;2;AU;M;22;IN;X;BR;3
D011301010;1;AU;M;22;SI;X;BR;5
D011301010;2;MO;M;27;IN;X;BR;5
D011301011;1;MO;M;41;SI;X;BR;5
D011301012;1;AU;M;48;SI;X;BR;7
D011301012;2;CA;M;72;SI;X;BR;2
D011301013;1;AU;M;SI;SI;X;BR;8
D011301013;2;AU;M;51;SI;X;BR;7
D011301014;1;MO;M;29;SI;X;BR;7
D011301014;2;AU;F;SI;SI;X;BR;8
D011301015;1;AU;M;37;SI;X;BR;5
D011301015;2;CM;M;42;SI;X;BR;2
D011301016;1;MO;M;42;SI;X;BR;5
D011301016;2;AU;M;18;SI;X;BR;5
D011301017;1;MO;M;22;SI;X;BR;5
D011301017;2;AU;M;56;SI;X;BR;7
D011301018;1;MO;M;26;SI;X;BR;5
D011301018;2;AU;M;70;SI;X;BR;3
D011301019;1;MO;M;24;SI;X;BR;5
D011301020;1;AU;M;24;SI;X;BR;5
D011301020;2;ON;M;30;SI;X;BR;5
D011301021;1;AU;F;75;SI;X;BR;3
D011301022;1;MO;M;34;SI;X;BR;2
D011301022;2;AU;M;54;SI;X;BR;8
D011301023;1;AU;M;26;SI;X;BR;7
D011301023;2;AU;M;58;SI;X;BR;5
D011301023;3;AU;M;45;IN;X;BR;3
D011301024;1;AU;M;20;SI;X;BR;6
D011301025;1;AU;M;22;SI;X;BR;5
D011301025;2;AU;M;51;SI;X;BR;8
D011301026;1;ON;M;40;SI;X;BR;3
D011301027;1;AU;M;26;SI;X;BR;5
D011301028;1;AU;M;50;SI;X;BR;7
D011301028;2;MO;M;20;SI;X;BR;6
D011301029;1;MO;X;SI;SI;X;BR;8
D011301030;1;MO;M;38;IN;X;BR;3
D011301030;2;AU;M;58;SI;X;BR;2
D011301031;1;AU;M;48;SI;X;BR;5
D011301031;2;AU;M;36;SI;X;BR;3
D011301032;1;AU;M;28;SI;X;BR;6
D011301032;2;CA;F;52;SI;X;BR;7
D011301033;1;AU;M;33;SI;X;BR;5
D011301034;1;ON;M;39;SI;X;BR;5
D011301034;2;AU;M;32;SI;X;BR;7
D011301035;1;AU;F;42;IN;X;BR;3
D011301036;1;MO;M;49;SI;X;BR;8
D011301036;2;AU;M;34;SI;X;BR;8
D011301037;1;AU;F;62;SI;X;BR;7
D011301037;2;SI;M;SI;SI;X;BR;8
D011301038;1;AU;M;43;SI;X;BR;7
D011301038;2;AU;M;46;SI;X;BR;3
D011301039;1;BI;M;29;NE;X;BR;5
D011301039;2;AU;X;SI;SI;X;BR;8
D011301040;1;MO;M;31;SI;X;BR;4
D011301040;2;CA;X;SI;SI;X;BR;8
D011301041;1;MO;M;28;SI;X;BR;5
D011301041;2;CA;X;SI;SI;X;BR;8
D011301042;1;MO;M;31;SI;X;BR;3
D011301042;2;AU;M;39;SI;X;BR;7
D011301043;1;MO;F;28;IN;X;BR;4
D011301044;1;MO;M;36;SI;X;BR;3
D011301044;2;CM;F;SI;SI;X;BR;8
D011301045;1;AU;F;53;SI;X;BR;7
D011301046;1;MO;M;30;SI;X;BR;3
D011301046;2;AU;M;27;SI;X;BR;5
D011301047;1;MO;M;40;SI;X;BR;3
D011301047;2;BI;M;58;NE;X;BR;3
D011301048;1;MO;M;SI;SI;X;BR;8
D011301048;2;AU;M;66;SI;X;BR;5
D011301049;1;AU;M;26;SI;X;BR;5
D011301050;1;BI;M;13;NE;X;BR;2
D011301050;2;MO;M;57;SI;X;BR;5
D011301051;1;ON;M;31;HA;X;BR;5
D011301051;2;CM;M;40;HA;X;BR;5
D011301052;1;ON;M;34;HA;X;BR;3
D011301053;1;MO;M;20;HA;X;BR;2
D011301053;2;AU;M;63;HA;X;BR;7
D011301054;1;AU;M;56;SI;X;BR;3
D011301054;2;AU;F;30;SI;X;BR;5
D011301054;3;AU;F;30;SI;X;BR;5
D011301054;4;MO;M;27;SI;X;BR;3
D011301055;1;MO;M;27;HA;X;BR;5
D011301055;2;MO;M;51;SI;X;BR;6
D011301056;1;MO;M;32;SI;X;BR;5
D011301056;2;AU;M;30;SI;X;AA;5
D011301057;1;MO;M;49;SI;X;BR;5
D011301057;2;AU;F;25;SI;X;BR;7
D011301058;1;MO;M;23;HA;X;BR;5
D011301059;1;MO;M;34;SI;X;BR;5
D011301059;2;AU;F;32;SI;X;BR;7
D011301060;1;MO;M;46;SI;X;BR;3
D011301060;2;AU;M;29;SI;X;BR;7
D011301061;1;AU;M;30;SI;X;BR;5
D011301061;2;CM;M;34;SI;X;BR;7
D011301061;3;AU;M;32;SI;X;BR;7
D011301062;1;AU;M;32;SI;X;BR;5
D011301063;1;MO;M;32;SI;X;BR;8
D011301063;2;CA;M;58;SI;X;BR;3
D011301064;1;AU;M;45;IN;X;BR;3
D011301065;1;MO;M;27;SI;X;BR;6
D011301065;2;AU;M;48;SI;X;BR;5
D011301066;1;MO;M;47;SI;X;BR;7
D011301066;2;CM;F;SI;SI;X;BR;8
D011301067;1;AU;M;27;SI;X;BR;5
D011301067;2;AU;M;30;SI;X;BR;5
D011301068;1;MO;M;25;SI;X;BR;8
D011301068;2;AU;F;45;SI;X;BR;8
D011301069;1;MO;M;27;SI;X;BR;5
D011301070;1;MO;M;23;HA;X;BR;5
D011301071;1;AU;M;43;SI;X;BR;3
D011301073;1;MO;M;27;SI;X;BR;3
D011301073;2;AU;M;48;SI;X;BR;6
D011301074;1;MO;M;17;IN;X;BR;3
D011301076;1;MO;M;40;SI;X;BR;5
D011301076;2;AU;F;51;SI;X;BR;5
D011301077;1;MO;M;38;SI;X;BR;7
D011301077;2;AU;M;48;SI;X;BR;3
D011301078;1;MO;M;24;IN;X;BR;4
D011301078;2;AU;M;43;HA;X;BR;5
D011301079;1;AU;M;39;IN;X;BR;5
D011301079;2;AU;M;34;SI;X;BR;5
D011301081;1;MO;M;27;SI;X;BR;3
D011301081;2;AU;M;42;SI;X;BR;5
D011301082;1;MO;M;25;SI;X;BR;5
D011301083;1;MO;M;24;SI;X;BR;3
D011301083;2;MO;M;29;SI;X;BR;5
D011301083;3;AU;M;31;SI;X;BR;8
D011301083;4;CM;M;59;SI;X;BR;7
D011301084;1;MO;M;28;SI;X;BR;5
D011301085;1;MO;M;26;SI;X;BR;5
D011301086;1;AU;F;SI;SI;X;BR;8
D011301087;1;AU;M;31;IN;X;BR;3
D011301088;1;CM;M;45;SI;X;BR;3
D011301089;1;MC;M;40;SI;X;BR;3
D011301090;1;MO;M;36;HA;X;BR;3
D011301090;2;AU;M;46;HA;X;BR;5
D011301091;1;OU;M;46;HA;X;BR;3
D011301092;1;MO;M;43;SI;X;BR;8
D011301093;1;MO;M;36;SI;X;BR;3
D011301094;1;AU;F;45;SI;X;BR;3
D011301094;2;AU;M;49;SI;X;BR;5
D011301095;1;MO;M;33;SI;X;BR;5
D011301095;2;AU;M;38;SI;X;BR;3
D011301096;1;MO;M;29;SI;X;BR;3
D011301096;2;AU;M;37;SI;X;BR;3
D011301097;1;AU;F;24;SI;X;BR;8
D011301097;2;AU;M;30;SI;X;BR;7
D011301098;1;OU;M;53;SI;X;BR;5
D011301099;1;MO;F;29;SI;X;BR;7
D011301099;2;AU;M;32;SI;X;BR;8
D011301100;1;MO;F;42;SI;X;BR;3
D011301100;2;AU;F;47;SI;X;BR;7
D011301101;1;OU;M;56;SI;X;BR;2
D011301102;1;MO;M;28;SI;X;BR;3
D011301102;2;AU;M;37;SI;X;BR;5
D011301103;1;AU;M;55;SI;X;BR;3
D011301104;1;MO;M;41;SI;X;BR;5
D011301104;2;CM;X;SI;SI;X;BR;8
D011301105;1;MO;M;27;SI;X;BR;3
D011301105;2;AU;M;42;SI;X;BR;7
D011301106;1;ON;M;31;SI;X;BR;3
D011301106;2;ON;F;25;SI;X;BR;5
D011301107;1;CM;M;53;SI;X;BR;3
D011301108;1;MO;M;29;SI;X;BR;3
D011301108;2;ON;M;29;SI;X;BR;5
D011301109;1;AU;M;27;HA;X;BR;5
D011301109;2;CM;M;31;HA;X;BR;3
D011301110;1;AU;M;25;IN;X;BR;5
D011301110;2;CM;M;41;SI;X;BR;5
D011301111;1;AU;M;43;SI;X;BR;3
D011301111;2;AU;M;28;SI;X;BR;3
D011301111;3;CM;M;72;SI;X;BR;8
D011301112;1;MO;M;20;SI;X;BR;5
D011301113;1;AU;M;48;SI;X;BR;8
D011301113;2;AU;F;41;SI;X;BR;7
D011301113;3;MO;M;30;SI;X;BR;3
D011301114;1;AU;F;42;SI;X;BR;7
D011301114;2;MO;M;SI;SI;X;BR;8
D011301115;1;OU;M;41;SI;X;BR;3
D011301116;1;AU;F;20;SI;X;BR;5
D011301116;2;CA;M;48;SI;X;BR;3
D011301117;1;MO;M;39;SI;X;BR;3
D011301118;1;MO;M;39;SI;X;BR;5
D011301119;1;OU;M;29;HA;X;BR;5
D011301119;2;OU;M;47;HA;X;BR;5
D011301119;3;OU;M;33;HA;X;BR;5
D011301120;1;OU;M;53;SI;X;BR;3
D011301121;1;MO;M;23;SI;X;BR;3
D011301121;2;AU;X;SI;SI;X;BR;8
D011301122;1;MO;M;34;SI;X;BR;3
D011301123;1;MO;M;37;SI;X;BR;3
D011301123;2;AU;F;35;SI;X;BR;7
D011301124;1;BI;M;14;NE;X;BR;3
D011301124;2;CA;M;25;SI;X;BR;3
D011301125;1;CM;M;24;SI;X;BR;5
D011301126;1;MO;M;24;SI;X;BR;3
D011301126;2;CM;M;24;SI;X;BR;3
D011301127;1;AU;M;54;SI;X;BR;8
D011301127;2;AU;M;25;SI;X;BR;8
D011301128;1;MO;M;23;SI;X;BR;5
D011301129;1;MO;M;46;SI;X;BR;3
D011301129;2;AU;M;16;IN;X;BR;3
D011301130;1;MO;M;32;SI;X;BR;4
D011301130;2;AU;M;42;SI;X;BR;3
D011301131;1;MO;M;23;SI;X;BR;3
D011301131;2;AU;F;45;SI;X;BR;7
D011301132;1;MO;M;16;IN;X;BR;3
D011301133;1;AU;F;15;IN;X;BR;3
D011301134;1;AU;M;24;SI;X;BR;5
D011301134;2;AU;M;26;SI;X;BR;7
D011301135;1;OU;M;54;HA;X;BR;3
D011301136;1;AU;X;SI;SI;X;BR;8
D011301137;1;CM;M;35;SI;X;BR;7
D011301137;2;BI;M;30;NE;X;BR;3
D011301138;1;MO;M;15;IN;X;BR;3
D011301139;1;MO;M;38;SI;X;BR;3
D011301139;2;OU;M;57;HA;X;BR;3
D011301140;1;AU;M;38;IN;X;BR;3
D011301140;2;CM;M;22;SI;X;BR;3
D011301141;1;AU;M;26;SI;X;BR;8
D011301141;2;AU;M;31;SI;X;BR;8
D011301142;1;MO;X;SI;SI;X;BR;8
D011301143;1;AU;F;SI;SI;X;BR;8
D011301143;2;MO;M;30;SI;X;BR;8
D011301144;1;ON;F;45;SI;X;BR;5
D011301145;1;MO;M;34;SI;X;BR;3
D011301145;2;AU;F;SI;SI;X;BR;8
D011301146;1;AU;X;SI;SI;X;BR;8
D011301147;1;MO;M;21;SI;X;BR;3
D011301147;2;SI;X;SI;SI;X;BR;8
D011301148;1;MO;M;18;SI;X;BR;3
D011301148;2;ON;X;SI;SI;X;BR;8
D011301149;1;CM;M;49;HA;X;BR;3
D011301149;2;AU;M;36;HA;X;BR;3
D011301150;1;AU;M;19;SI;X;BR;3
D011301150;2;AU;X;SI;SI;X;BR;8
D011301151;1;MO;M;25;SI;X;BR;3
D011301152;1;MO;M;29;SI;X;BR;7
D011301153;1;AU;M;SI;SI;X;BR;8
D011301153;2;MO;M;38;SI;X;BR;3
D011301154;1;MO;M;26;SI;X;BR;5
D011301154;2;ON;M;24;SI;X;BR;3
D011301155;1;AU;M;62;SI;X;BR;8
D011301155;2;AU;M;34;SI;X;BR;5
D011301156;1;SI;X;SI;SI;X;BR;8
D011301157;1;CM;M;20;HA;X;BR;3
D011301158;1;MO;M;15;IN;X;BR;2
D011301158;2;MO;M;28;SI;X;BR;3
D011301159;1;MO;M;24;SI;X;BR;5
D011301160;1;MO;M;24;SI;X;BR;3
D011301160;2;SI;X;SI;SI;X;BR;8
D011301161;1;AU;M;39;HA;X;BR;3
D011301161;2;MO;M;23;HA;X;BR;5
D011301162;1;MO;M;31;SI;X;BR;5
D011301162;2;AU;M;58;SI;X;BR;3
D011301163;1;MO;M;21;SI;X;BR;5
D011301163;2;AU;M;35;SI;X;BR;3
D011301163;3;AU;F;36;SI;X;BR;7
D011301164;1;MO;M;29;SI;X;BR;5
D011301164;2;AU;M;22;SI;X;BR;5
D011301165;1;MO;M;18;SI;X;BR;5
D011301165;2;CM;M;48;SI;X;BR;7
D011301166;1;AU;M;16;IN;X;BR;5
D011301167;1;AU;M;27;SI;X;BR;5
D011301168;1;SI;X;SI;SI;X;BR;8
D011301168;2;MO;M;26;SI;X;BR;5
D011301169;1;AU;M;33;SI;X;BR;5
D011301169;2;AU;M;43;SI;X;SA;3
D011301169;3;OU;M;46;HA;X;BR;3
D011301170;1;MO;M;20;SI;X;BR;3
D011301170;2;AU;M;40;SI;X;BR;7
D011301171;1;MO;M;19;SI;X;BR;3
D011301171;2;MO;M;20;IN;X;BR;4
D011301172;1;OU;M;32;HA;X;BR;8
D011301173;1;MO;M;28;SI;X;BR;8
D011301173;2;AU;X;SI;SI;X;BR;8
D011301174;1;AU;F;43;SI;X;BR;5
D011301175;1;AU;M;24;SI;X;BR;5
D011301175;2;AU;M;40;SI;X;BR;7
D011301176;1;MO;M;27;HA;X;BR;8
D011301176;2;AU;F;30;HA;X;BR;7
D011301177;1;MO;M;30;SI;X;BR;3
D011301178;1;AU;M;40;SI;X;BR;8
D011301178;2;AU;M;31;SI;X;BR;3
D011301179;1;MO;M;29;SI;X;BR;2
D011301179;2;AU;M;23;SI;X;BR;5
D011301180;1;ON;M;52;SI;X;BR;3
D011301181;1;AU;M;47;SI;X;BR;3
D011301182;1;MO;M;24;SI;X;BR;3
D011301182;2;AU;M;36;SI;X;BR;8
D011301183;1;AU;X;SI;SI;X;BR;8
D011301184;1;MO;X;SI;SI;X;BR;8
D011301185;1;MO;M;24;HA;X;BR;3
D011301185;2;ON;M;31;HA;X;BR;3
D011301186;1;MO;M;SI;SI;X;BR;8
D011301187;1;AU;F;SI;SI;X;BR;8
D011301188;1;MO;M;24;SI;X;BR;5
D011301188;2;OU;M;32;HA;X;BR;3
D011301189;1;MO;M;24;SI;X;BR;5
D011301189;2;AU;F;SI;SI;X;BR;8
D011301190;1;MO;M;28;SI;X;BR;5
D011301190;2;AU;M;44;SI;X;BR;5
D011301191;1;AU;M;40;SI;X;BR;6
D011301191;2;AU;M;34;SI;X;AA;3
D011301192;1;CM;M;38;SI;X;BR;3
D011301193;1;MO;M;31;SI;X;BR;5
D011301193;2;AU;M;22;SI;X;BR;3
D011301194;1;CM;M;34;SI;X;BR;5
D011301195;1;MO;M;30;IN;X;BR;5
D011301196;1;MO;M;34;SI;X;BR;3
D011301196;2;AU;M;42;SI;X;BR;3
D011301197;1;MO;M;SI;IN;X;BR;8
D011301198;1;AU;M;20;SI;X;BR;3
D011301199;1;MO;M;44;HA;X;BR;5
D011301200;1;MO;M;27;SI;X;BR;5
D011301200;2;AU;M;41;SI;X;BR;3
D011301201;1;MO;M;31;HA;X;BR;3
D011301201;2;AU;M;SI;SI;X;BR;8
D011301202;1;MO;M;32;IN;X;AA;3
D011301203;1;AU;F;51;SI;X;BR;3
D011301204;1;MO;F;SI;SI;X;BR;8
D011301205;1;MO;M;23;IN;X;BR;3
D011301205;2;AU;M;28;SI;X;BR;5
D011301206;1;AU;M;26;IN;X;BR;3
D011301206;2;ON;M;SI;SI;X;BR;3
D011301206;3;MO;M;30;SI;X;BR;5
D011301207;1;MO;M;24;SI;X;BR;5
D011301208;1;MO;M;33;IN;X;BR;3
D011301209;1;MO;M;24;SI;X;BR;5
D011301209;2;ON;X;SI;SI;X;BR;8
D011301210;1;MO;M;38;SI;X;BR;7
D011301211;1;MO;M;41;SI;X;BR;5
D011301211;2;AU;M;25;SI;X;BR;8
D011301212;1;MO;M;23;IN;X;BR;8
D011301212;2;AU;M;37;HA;X;BR;5
D011301213;1;AU;F;30;SI;X;BR;7
D011301214;1;MO;M;36;SI;X;BR;3
D011301214;2;AU;X;SI;SI;X;BR;8
D011301215;1;MO;M;SI;SI;X;BR;8
D011301215;2;AU;M;24;SI;X;BR;5
D011301216;1;AU;M;46;SI;X;BR;3
D011301216;2;CA;M;37;HA;X;BR;3
D011301218;1;OU;M;57;HA;X;BR;3
D011301219;1;MO;M;24;HA;X;BR;3
D011301220;1;MO;M;44;SI;X;BR;3
D011301220;2;CM;M;56;SI;X;BR;3
D011301221;1;MO;M;29;SI;X;BR;8
D011301221;2;AU;M;28;SI;X;BR;5
D011301222;1;MO;M;18;SI;X;BR;5
D011301222;2;AU;M;68;SI;X;BR;3
D011301223;1;MO;M;25;SI;X;BR;5
D011301223;2;SI;M;SI;SI;X;BR;8
D011301224;1;MO;M;20;HA;X;BR;5
D011301224;2;AU;M;59;SI;X;BR;2
D011301225;1;MO;M;25;SI;X;BR;3
D011301225;2;AU;M;28;SI;X;BR;5
D011301226;1;MO;M;28;SI;X;BR;5
D011301226;2;AU;M;SI;SI;X;BR;8
D011301227;1;MO;M;50;SI;X;BR;3
D011301227;2;AU;M;42;SI;X;BR;7
D011301228;1;MO;M;45;SI;X;BR;4
D011301228;2;AU;M;SI;SI;X;BR;8
D011301229;1;SI;X;SI;SI;X;BR;8
D011301229;2;MO;M;26;SI;X;BR;5
D011301230;1;MO;M;26;SI;X;BR;5
D011301230;2;AU;M;51;SI;X;BR;5
D011301230;3;OU;M;50;HA;X;BR;5
D011301231;1;MO;M;23;SI;X;BR;3
D011301231;2;CA;M;49;SI;X;BR;8
D011301232;1;AU;M;47;IN;X;SA;3
D011301233;1;MO;M;25;SI;X;BR;5
D011301233;2;AU;F;44;SI;X;BR;7
D011301234;1;AU;X;SI;SI;X;BR;8
D011301234;2;MO;M;32;SI;X;BR;8
D011301235;1;MO;M;40;SI;X;BR;3
D011301235;2;AU;M;20;SI;X;BR;3
D011301236;1;AU;M;53;SI;X;BR;2
D011301236;2;OU;M;SI;HA;X;BR;8
D011301237;1;MO;M;29;SI;X;BR;5
D011301237;2;AU;M;49;SI;X;BR;3
D011301238;1;MO;M;33;SI;X;BR;5
D011301238;2;AU;M;50;SI;X;BR;3
D011301239;1;AU;F;33;SI;X;BR;7
D011301239;2;AU;M;42;SI;X;BR;5
D011301241;1;AU;M;36;SI;X;BR;5
D011301242;1;MO;M;33;SI;X;BR;3
D011301242;2;ON;M;SI;SI;X;BR;8
D011301243;1;CA;M;28;SI;X;BR;3
D011301243;2;BI;M;13;NE;X;BR;3
D011301244;1;MO;M;23;SI;X;BR;5
D011301244;2;AU;M;52;SI;X;BR;3
D011301245;1;MO;M;19;SI;X;BR;3
D011301245;2;AU;X;SI;SI;X;BR;8
D011301246;1;MO;M;34;SI;X;BR;5
D011301247;1;MO;M;36;SI;X;BR;3
D011301248;1;AU;M;60;SI;X;BR;3
D011301249;1;MO;M;19;HA;X;BR;3
D011301249;2;AU;M;31;SI;X;BR;7
D011301250;1;MO;F;23;SI;X;BR;5
D011301251;1;MO;M;23;IN;X;BR;3
D011301252;1;MO;M;24;SI;X;BR;3
D011301252;2;CM;X;SI;SI;X;BR;8
D011301253;1;AU;M;27;SI;X;BR;5
D011301254;1;MO;M;26;SI;X;BR;5
D011301254;2;AU;M;SI;SI;X;BR;8
D011301255;1;MO;M;23;SI;X;BR;3
D011301255;2;AU;M;41;SI;X;BR;5
D011301256;1;MO;M;24;SI;X;BR;5
D011301256;2;AU;M;56;SI;X;BR;7
D011301257;1;MO;X;SI;SI;X;BR;8
D011301259;1;MO;M;28;SI;X;BR;5
D011301259;2;CM;F;49;SI;X;BR;5
D011301260;1;AU;M;33;SI;X;BR;5
D011301261;1;ON;M;49;SI;X;BR;8
D011301262;1;AU;F;37;SI;X;BR;3
D011301262;2;AU;M;34;IN;X;BR;3
D011301263;1;MO;M;38;SI;X;BR;8
D011301263;2;OU;M;39;SI;X;BR;8
D011301264;1;MO;M;31;SI;X;BR;5
D011301264;2;MO;M;33;SI;X;BR;5
D011301265;1;SI;X;SI;SI;X;BR;8
D011301266;1;MO;M;23;SI;X;BR;4
D011301266;2;CM;M;44;SI;X;BR;3
D011301267;1;MO;M;24;SI;X;BR;5
D011301268;1;MO;M;27;SI;X;BR;5
D011301268;2;CR;M;44;SI;X;BR;3
D011301269;1;AU;F;43;SI;X;BR;5
D011301269;2;SI;M;SI;SI;X;BR;8
D011301270;1;MO;M;21;SI;X;BR;3
D011301270;2;AU;M;35;SI;X;BR;2
D011301271;1;MO;M;19;SI;X;BR;5
D011301272;1;MO;M;26;SI;X;BR;5
D011301273;1;MO;M;18;SI;X;BR;5
D011301273;2;ON;M;33;SI;X;BR;5
D011301274;1;MO;M;25;IN;X;BR;3
D011301274;2;AU;M;24;SI;X;BR;5
D011301275;1;AU;F;40;SI;X;BR;5
D011301275;2;AU;M;42;SI;X;BR;8
D011301275;3;AU;M;50;SI;X;BR;3
D011301276;1;MO;M;48;SI;X;BR;3
D011301277;1;AU;M;19;SI;X;BR;5
D011301278;1;MO;X;SI;SI;X;BR;8
D011301278;2;AU;M;35;SI;X;BR;8
D011301279;1;ON;M;37;HA;X;BR;3
D011301280;1;MO;M;29;SI;X;BR;5
D011301281;1;MO;M;26;SI;X;BR;3
D011301281;2;AU;M;59;SI;X;BR;3
D011301282;1;MO;M;45;SI;X;BR;5
D011301282;2;AU;M;30;SI;X;BR;7
D011301283;1;MO;M;SI;SI;X;BR;8
D011301283;2;AU;M;42;SI;X;BR;7
D011301284;1;AU;M;32;SI;X;BR;5
