id_acidente;codloga;logradouroA;codlogb;logradouroB;alt_num;referencia;data;cod_acid;tipo_acidente;dp;numero_BO;sentido;pista;automovel;moto;onibus;caminhao;bicicleta;moto_taxi;onibus_fretado;onibus_urbano;microonibus;van;vuc;caminhonete;carreta;jipe;outros;sem_informacao;carroca;princ_a;paiA;princ_b;paiB;cod_distrito;distrito;vit_ferida;vit_morta
D041300794;63190;LICINIO DE CAMARGO, RUA CEL;;;100;;06/04/2013 19:40;2;CO;46;3192; ; ;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;63190;LICINIO DE CAMARGO, RUA CEL;;;31;GUAIANASES;1;0
D041301890;45771;PAULO TAPAJOS, RUA;;;1;;06/04/2013 19:45;4;AT;50;4261; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45771;PAULO TAPAJOS, RUA;;;35;ITAIM PAULISTA;1;0
D041300833;1363;JORGE WARD, RUA;;;460;;06/04/2013 19:52;2;CO;51;3296; ; ;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1363;JORGE WARD, RUA;;;68;RIO PEQUENO;2;0
D041302213;13174;FRANCISCO LEOPOLDO E SILVA, RUA;;;185;;06/04/2013 20:00;4;AT;90;3532; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13174;FRANCISCO LEOPOLDO E SILVA, RUA;;;91;VILA MARIA;0;1
D041301480;14208;MONTOJO, RUA;2716;BAGNUOLO, RUA GAL;0;;06/04/2013 20:02;2;CO;56;2148; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2716;BAGNUOLO, RUA GAL;14208;MONTOJO, RUA;95;VILA PRUDENTE;1;0
D041300908;8000;GIOVANNI GRONCHI, AV;;;5411;;06/04/2013 20:30;2;SI;89;2840; ; ;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8000;GIOVANNI GRONCHI, AV;;;55;MORUMBI;1;0
D041301871;98912;JOSE PINHEIRO BORGES, AV;;;0;PROXIMO  - R.SABBADO ;06/04/2013 20:31;2;CT;32;2484;C; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98912;JOSE PINHEIRO BORGES, AV;;;36;ITAQUERA;2;0
D041302214;7061;FERNAO DIAS, VIA;;;0;PROXIMO  - BAIRRO VIL;06/04/2013 20:32;4;AT;73;3550; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7061;FERNAO DIAS, VIA;;;38;JACANA;0;1
D041301502;15034;ORATORIO, RUA DO;;;625;;06/04/2013 20:50;2;CO;57;2150; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15034;ORATORIO, RUA DO;;;16;CAMPO GRANDE;1;0
D041301255;16051;PENHA BRASIL, AV GAL;;;493;;06/04/2013 21:00;2;CO;72;3005; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16051;PENHA BRASIL, AV GAL;;;48;LAPA;1;0
D041300004;12365;LUND, RUA DR;;;0;NADA CONSTA ;06/04/2013 21:00;4;AT;1;2534; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12365;LUND, RUA DR;;;80;SE;1;0
D041301932;69956;URUMBEBA, RUA;72527;URUCURANA, RUA;0;;06/04/2013 21:30;2;CO;63;2490; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69956;URUMBEBA, RUA;72527;URUCURANA, RUA;89;VILA JACUI;1;0
D041300835;24365;CELSO LAGAR, RUA;7447;MARIA RITA BALBINO, RUA;0;;06/04/2013 21:30;2;CO;51;3300; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7447;MARIA RITA BALBINO, RUA;24365;CELSO LAGAR, RUA;68;RIO PEQUENO;1;0
D041301318;16838;RAIMUNDO PEREIRA DE MAGAL., AV;;;12000;;06/04/2013 22:59;2;CO;74;3003; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16838;RAIMUNDO PEREIRA DE MAGAL., AV;;;31;GUAIANASES;3;0
D041301640;15507;TEOTONIO VILELA, AV SEN;;;4200;;06/04/2013 23:00;4;AT;48;3934; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;15507;TEOTONIO VILELA, AV SEN;;;23;CIDADE DUTRA;1;0
D041301019;14270;MORVAN DIAS DE FIGUEIREDO, AV;;;1700;;06/04/2013 23:00;2;CT;9;3107; ; ;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;29772;MARGINAL DO RIO TIETE, AV;;;0;NULL;1;0
D041301846;13881;MIGUEL, AV S;;;4000;;06/04/2013 23:20;2;CO;24;3594; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13881;MIGUEL, AV S;;;65;PONTE RASA;1;0
D041300834;16878;RAPOSO TAVARES, VIA;;;13700;;06/04/2013 23:30;2;SI;51;3299; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16878;RAPOSO TAVARES, VIA;;;13;CACHOEIRINHA;4;0
D041301645;16540;DELFINO FACCHINA, RUA;;;893;;06/04/2013 23:30;2;QM;80;1269; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16540;DELFINO FACCHINA, RUA;;;29;FREGUESIA DO O;1;0
D041300243;4561;CASTELO BRANCO, AV PRES;15706;PAULO ANDRIGHETTI, RUA;0;;07/04/2013 00:40;2;CO;12;2539; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4561;CASTELO BRANCO, AV PRES;15706;PAULO ANDRIGHETTI, RUA;57;PARI;1;0
D041301785;15507;TEOTONIO VILELA, AV SEN;;;101;;07/04/2013 01:15;4;AT;101;2472; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15507;TEOTONIO VILELA, AV SEN;;;23;CIDADE DUTRA;1;0
D041301152;3771;INAJAR DE SOUZA, AV;7477;FRANCISCO LOTUFO, RUA;0;;07/04/2013 01:20;2;CO;28;3715; ; ;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3771;INAJAR DE SOUZA, AV;8135;SILVERIO DE CARVALHO, RUA;50;LIMAO;1;0
D041302079;45319;MALMEQUER DO CAMPO, RUA;;;100;;07/04/2013 01:24;2;CH;53;2247; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;45319;MALMEQUER DO CAMPO, RUA;;;58;PARQUE DO CARMO;1;0
D041302139;74003;MOTA COQUEIRO, RUA;;;1084;;07/04/2013 01:26;4;AT;66;2240; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;74003;MOTA COQUEIRO, RUA;;;38;JACANA;1;0
D041300837;16878;RAPOSO TAVARES, VIA;;;13600;;07/04/2013 01:45;2;CO;51;3322; ; ;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;16878;RAPOSO TAVARES, VIA;;;13;CACHOEIRINHA;1;0
D041301242;41283;MANUEL ANTONIO FONSECA, RUA;;;65;;07/04/2013 02:40;2;CH;45;3019; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41283;MANUEL ANTONIO FONSECA, RUA;;;40;JAGUARE;2;0
D041300836;19817;VITAL BRASIL, AV;3937;CAMARGO, RUA;0;;07/04/2013 03:44;2;CO;51;3305; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3937;CAMARGO, RUA;19817;VITAL BRASIL, AV;12;BUTANTA;2;0
D041302140;2181;ARICANDUVA, AV;;;6650;;07/04/2013 05:14;2;QM;66;2249; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2181;ARICANDUVA, AV;;;60;PENHA;1;0
D041301772;12403;M'BOI MIRIM, ES;;;3837;;07/04/2013 05:30;2;SI;100;4305; ; ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12403;M'BOI MIRIM, ES;;;42;JARDIM ANGELA;1;0
D041300591;16919;REBOUCAS, AV;;;2026;;07/04/2013 06:03;2;CO;14;3304; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16919;REBOUCAS, AV;;;44;JARDIM PAULISTA;1;0
D041301049;3813;CAETANO ALVARES, AV ENG;;;3291;;07/04/2013 06:40;2;CT;13;3722; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3813;CAETANO ALVARES, AV ENG;;;21;CASA VERDE;1;0
D041301256;15425;CANTIDIO SAMPAIO, AV DEP;;;2972;;07/04/2013 06:40;2;CO;72;3020; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15425;CANTIDIO SAMPAIO, AV DEP;;;41;JARAGUA;1;0
D041301153;3771;INAJAR DE SOUZA, AV;2921;BARTHOLOMEU DO CANTO, RUA;0;;07/04/2013 07:20;2;CO;28;3724; ; ;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2921;BARTHOLOMEU DO CANTO, RUA;3771;INAJAR DE SOUZA, AV;50;LIMAO;1;0
D041300560;3185;BENIGNO, RUA;;;637;;07/04/2013 08:20;2;QD;97;4545; ; ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3185;BENIGNO, RUA;;;50;LIMAO;1;0
D041300538;12193;LUIS CARLOS BERRINI, AV ENG;8377;GUARARAPES, RUA;0;;07/04/2013 09:21;2;CL;96;3542; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8377;GUARARAPES, RUA;12193;LUIS CARLOS BERRINI, AV ENG;34;ITAIM BIBI;2;0
D041301107;14767;NOVA CANTAREIRA, AV;;;5170;;07/04/2013 09:35;2;QM;20;3110; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14767;NOVA CANTAREIRA, AV;;;83;TREMEMBE;1;0
D041300482;28670;CARLOS LIVIERO, AV;;;1037;;07/04/2013 10:00;2;CO;83;866; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28670;CARLOS LIVIERO, AV;;;21;CASA VERDE;1;0
D041300765;34682;CAMPO LIMPO, ES DO;;;5000;;07/04/2013 11:00;2;CT;37;2812; ; ;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;34682;CAMPO LIMPO, ES DO;;;17;CAMPO LIMPO;1;0
D041300637;1374;ANGELINA MAFFEI VITA, RUA;;;450;;07/04/2013 12:27;2;CO;15;3316; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1374;ANGELINA MAFFEI VITA, RUA;;;63;PINHEIROS;1;0
D041302039;72670;INACIO MONTEIRO, RUA;;;20;;07/04/2013 12:30;2;QM;44;2664; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72670;INACIO MONTEIRO, RUA;;;50;LIMAO;1;0
D041301184;19337;ULTRAMARINO, AV;;;318;;07/04/2013 13:10;2;CO;38;3029; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19337;ULTRAMARINO, AV;;;8;BELEM;1;0
D041300867;8603;HEITOR ANTONIO EIRAS GARCIA, AV ENG;76369;OSCARLINO ROMANO DOS SANTOS, RUA;0;;07/04/2013 13:20;2;CO;75;2818; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8603;HEITOR ANTONIO EIRAS GARCIA, AV ENG;76369;OSCARLINO ROMANO DOS SANTOS, RUA;66;RAPOSO TAVARES;1;0
D041301472;13805;MELO PEIXOTO, RUA;;;100;;07/04/2013 14:01;4;AT;52;3850; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13805;MELO PEIXOTO, RUA;;;82;TATUAPE;1;0
D041301050;3813;CAETANO ALVARES, AV ENG;;;2451;;07/04/2013 14:10;2;CT;13;3735; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3813;CAETANO ALVARES, AV ENG;;;21;CASA VERDE;1;0
D041301773;2850;BARONESA, ES DA;;;0;NADA CONSTA ;07/04/2013 15:06;2;CL;100;4318; ; ;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2850;BARONESA, ES DA;;;42;JARDIM ANGELA;1;0
D041301108;43659;DORIVAL DIAS MINHOTO, RUA PROF;;;100;;07/04/2013 15:15;2;CO;20;3123; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43659;DORIVAL DIAS MINHOTO, RUA PROF;;;8;BELEM;1;0
D041302177;8368;GUARAPIRANGA, AV;;;1539;;07/04/2013 15:35;2;CL;11;3831; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8368;GUARAPIRANGA, AV;;;45;JARDIM SAO LUIS;0;2
D041301473;27094;SALIM FARAH MALUF, AV;4736;CELSO GARCIA, AV;0;;07/04/2013 16:00;2;CL;52;3851;B; ;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;4736;CELSO GARCIA, AV;27094;SALIM FARAH MALUF, AV;8;BELEM;1;0
D041300489;6326;ELIAS MACHADO, RUA DR;;;57;;07/04/2013 16:06;2;CO;83;2943; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6326;ELIAS MACHADO, RUA DR;;;21;CASA VERDE;1;0
D041301979;21486;PAULINO PACHECO DE MELLO, RUA;;;10;;07/04/2013 16:30;2;CO;67;991; ; ;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;21486;PAULINO PACHECO DE MELLO, RUA;;;50;LIMAO;1;0
D041302203;14743;SABARA, AV NSRA DO;;;783;;07/04/2013 16:46;2;CT;11;3833; ; ;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14743;SABARA, AV NSRA DO;;;16;CAMPO GRANDE;1;1
D041300766;78774;MARCIO AKIRA MIURA, RUA;;;160;;07/04/2013 16:51;4;AT;37;2833; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;78774;MARCIO AKIRA MIURA, RUA;;;29;FREGUESIA DO O;1;0
D041300539;31520;ANTONIO JOSE DOS SANTOS, AV PDE;;;0;NADA CONSTA ;07/04/2013 17:19;2;CO;96;3562; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31520;ANTONIO JOSE DOS SANTOS, AV PDE;;;30;GRAJAU;2;0
D041301661;41532;OLGA BENARIO, RUA;;;1;;07/04/2013 17:25;2;CO;85;2049; ; ;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41532;OLGA BENARIO, RUA;;;40;JAGUARE;1;0
D041301826;4409;MOHAMAD IBRAHIN SALEH, RUA;;;0;NADA CONSTA ;07/04/2013 18:00;2;CO;22;2525; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4409;MOHAMAD IBRAHIN SALEH, RUA;;;76;SAO MIGUEL;1;0
D041300744;7500;FRANCISCO MORATO, AV PROF;21626;HEITOR BASTOS TIGRE, RUA MIN;0;;07/04/2013 18:30;2;CO;34;2825; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7500;FRANCISCO MORATO, AV PROF;21626;HEITOR BASTOS TIGRE, RUA MIN;96;VILA SONIA;1;0
D041300099;16028;PEIXOTO GOMIDE, RUA;4120;CANECA, RUA FREI;0;;07/04/2013 20:10;4;AT;4;2769; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4120;CANECA, RUA FREI;16028;PEIXOTO GOMIDE, RUA;26;CONSOLACAO;1;0
D041300796;1429;ANHANGUERA, VIA;;;0;QUILOMETRO  - 21;07/04/2013 20:20;4;AT;46;3219; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1429;ANHANGUERA, VIA;;;73;SAO DOMINGOS;1;0
D041301958;46539;CAMPANELLA ANTONIO, RUA;;;1602;;07/04/2013 21:15;2;CT;64;3635; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46539;CAMPANELLA ANTONIO, RUA;;;28;ERMELINO MATARA;1;0
D041302005;15165;OSVALDO DE OLIVEIRA, AV PROF;;;437;;07/04/2013 22:00;2;QD;103;2529; ; ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15165;OSVALDO DE OLIVEIRA, AV PROF;;;51;MANDAQUI;1;0
D041300767;74182;CARDOSO MOREIRA, RUA;67351;NELSON BRISSAC, RUA;0;;07/04/2013 22:00;2;CO;37;2869; ; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67351;NELSON BRISSAC, RUA;74182;CARDOSO MOREIRA, RUA;17;CAMPO LIMPO;1;0
D041300893;8155;GOULART DE OLIVEIRA, RUA;;;100;;07/04/2013 22:53;2;CH;87;3218; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8155;GOULART DE OLIVEIRA, RUA;;;29;FREGUESIA DO O;1;0
D041300200;14317;MUNIZ DE SOUSA, RUA;;;971;;07/04/2013 23:41;4;AT;6;2579; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14317;MUNIZ DE SOUSA, RUA;;;12;BUTANTA;1;0
D041302217;14317;MUNIZ DE SOUSA, RUA;;;971;;07/04/2013 23:41;4;AT;14;3380; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;14317;MUNIZ DE SOUSA, RUA;;;12;BUTANTA;0;1
D041300312;6013;DOMINGOS DE MORAIS, RUA;3502;BORGES LAGOA, RUA;0;;07/04/2013 23:45;2;CF;16;4572; ; ;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3502;BORGES LAGOA, RUA;6013;DOMINGOS DE MORAIS, RUA;92;VILA MARIANA;1;0
D041300164;8249;GUADALAJARA, VD;;;0;NADA CONSTA ;08/04/2013 00:34;2;CO;8;2587; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8249;GUADALAJARA, VD;;;8;BELEM;1;0
D041302054;9044;RAGUEB CHOHFI, AV;;;1395;;08/04/2013 00:56;2;CT;49;4676; ; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9044;RAGUEB CHOHFI, AV;;;32;IGUATEMI;3;0
D041301959;10249;JOAO DE MIRANDA, RUA;;;100;;08/04/2013 01:30;2;QM;64;3637; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10249;JOAO DE MIRANDA, RUA;;;53;MOEMA;1;0
D041301914;2429;ASSIS RIBEIRO, RUA DR;;;8428;;08/04/2013 05:20;4;AT;62;1389; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2429;ASSIS RIBEIRO, RUA DR;;;28;ERMELINO MATARA;1;0
D041301613;6334;ELLIS MAAS, AV;;;583;;08/04/2013 06:37;2;CO;47;4347; ; ;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6334;ELLIS MAAS, AV;;;19;CAPAO REDONDO;1;0
D041300864;16878;RAPOSO TAVARES, VIA;;;16000;;08/04/2013 06:40;2;TB;75;1530; ; ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;16878;RAPOSO TAVARES, VIA;;;13;CACHOEIRINHA;1;0
D041300313;66;ABRAAO DE MORAIS, AV PROF;4843;CHAGAS SANTOS, RUA GAL;0;;08/04/2013 07:00;2;CT;16;4579; ; ;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;66;ABRAAO DE MORAIS, AV PROF;4843;CHAGAS SANTOS, RUA GAL;79;SAUDE;2;0
