id_acidente;id_vitima;id_veiculo;sexo;idade;tipo_vitima;classificacao;tipo_veiculo;estado_alcoolizacao;escolaridade;data_obito
D011300105;1;1;F;59;PD;F;CM;BR;3;          
D011300106;1;1;F;42;CD;F;AU;BR;8;          
D011300107;1;2;M;29;CD;F;MO;BR;8;          
D011300108;1;2;M;37;CD;F;MO;BR;3;          
D011300109;1;2;M;37;CD;F;MO;BR;7;          
D011300110;1;2;F;19;PS;F;AU;BR;8;          
D011300111;1;1;F;25;PD;F;AU;BR;5;          
D011300112;1;2;F;42;PS;F;MO;BR;7;          
D011300113;1;2;M;22;CD;F;MO;BR;5;          
D011300114;1;1;F;19;CD;F;AU;BR;5;          
D011300114;2;2;M;44;CD;F;MO;BR;7;          
D011300115;1;2;M;33;CD;F;MO;BR;5;          
D011300116;1;2;M;38;CD;F;MO;BR;2;          
D011300117;1;2;M;24;CD;F;MO;BR;3;          
D011300118;1;3;M;27;CD;F;MO;BR;7;          
D011300119;1;1;M;29;CD;F;MO;BR;5;          
D011300120;1;1;M;66;PD;F;CA;BR;8;          
D011300121;1;1;M;43;CD;F;MO;BR;5;          
D011300122;1;1;M;29;CD;F;MO;BR;3;          
D011300123;1;1;M;31;CD;F;MO;BR;5;          
D011300124;1;1;F;25;PD;F;AU;BR;8;          
D011300125;1;2;M;22;CD;F;BI;BR;8;          
D011300126;1;2;X;SI;CD;F;MO;BR;8;          
D011300127;1;1;M;45;PD;F;SI;BR;5;          
D011300128;1;1;F;37;CD;F;AU;BR;7;          
D011300129;1;1;M;39;CD;F;MO;BR;2;          
D011300129;2;2;M;41;CD;F;MO;BR;3;          
D011300130;1;1;M;27;PD;F;SI;BR;8;          
D011300131;1;1;F;36;CD;F;MO;BR;5;          
D011300132;1;1;M;SI;PS;F;AU;BR;8;          
D011300133;1;2;F;28;PS;F;AU;BR;7;          
D011300133;2;2;M;28;PS;F;AU;BR;7;          
D011300134;1;2;M;48;CD;F;MO;BR;8;          
D011300135;1;2;M;30;CD;F;MO;BR;5;          
D011300135;2;2;M;24;PS;F;MO;BR;5;          
D011300136;1;2;M;41;CD;F;MO;BR;5;          
D011300137;1;1;M;20;CD;F;CM;BR;3;          
D011300137;2;1;F;18;PS;F;CM;BR;8;          
D011300137;3;2;M;18;CD;F;AU;BR;4;          
D011300137;4;2;F;18;PS;F;AU;BR;3;          
D011300137;5;2;F;19;PS;F;AU;BR;5;          
D011300137;6;2;M;18;PS;F;AU;BR;3;          
D011300138;1;2;M;45;CD;F;MO;BR;8;          
D011300138;2;2;F;SI;PS;F;MO;BR;8;          
D011300140;1;2;M;29;CD;F;MO;BR;3;          
D011300140;2;2;M;29;PS;F;MO;BR;8;          
D011300141;1;1;M;57;CD;F;MO;BR;5;          
D011300142;1;2;M;55;CD;F;MO;BR;5;          
D011300143;1;2;M;31;CD;F;MO;BR;5;          
D011300143;2;2;F;30;PD;F;MO;BR;5;          
D011300144;1;2;M;34;CD;F;MO;BR;8;          
D011300145;1;2;M;34;CD;F;MO;BR;5;          
D011300146;1;1;M;47;CD;F;ON;BR;3;          
D011300147;1;1;M;52;PD;F;AU;BR;3;          
D011300148;1;2;M;47;CD;F;CM;BR;7;          
D011300149;1;1;M;29;PD;F;CA;BR;5;          
D011300150;1;1;M;SI;CD;F;MO;BR;8;          
D011300151;1;2;F;39;PS;F;MO;BR;3;          
D011300152;1;1;M;SI;PD;F;SI;SA;8;          
D011300154;1;1;F;19;PS;F;MO;BR;3;          
D011300155;1;1;F;52;PS;F;OU;BR;3;          
D011300156;1;2;F;38;CD;F;MO;BR;7;          
D011300157;1;1;M;80;CD;F;AU;BR;3;          
D011300157;2;2;M;51;CD;F;OU;BR;3;          
D011300157;3;2;F;29;PS;F;OU;BR;5;          
D011300158;1;2;M;25;CD;F;BI;BR;5;          
D011300159;1;2;M;36;CD;F;MO;BR;2;          
D011300160;1;2;M;26;CD;F;MO;BR;3;          
D011300161;1;1;M;22;PD;F;CA;BR;3;          
D011300162;1;2;M;32;CD;F;BI;BR;3;          
D011300163;1;1;M;33;CD;F;MO;BR;4;          
D011300164;1;2;F;72;PS;F;AU;BR;3;          
D011300165;1;1;F;22;PS;F;MO;BR;8;          
D011300166;1;1;F;64;PD;F;AU;BR;3;          
D011300167;1;1;F;21;PD;F;AU;BR;3;          
D011300168;1;1;M;20;CD;F;AU;BR;8;          
D011300169;1;1;F;SI;PS;F;AU;BR;8;          
D011300170;1;1;F;27;CD;F;BI;BR;7;          
D011300171;1;1;M;43;CD;F;CM;BR;3;          
D011300171;2;1;F;39;PS;F;CM;BR;8;          
D011300172;1;1;F;91;PD;F;AU;BR;3;          
D011300173;1;1;M;35;CD;F;MO;BR;5;          
D011300174;1;1;M;39;CD;F;AU;BR;8;          
D011300174;2;1;M;39;PS;F;AU;BR;8;          
D011300174;3;2;M;44;CD;F;CM;BR;5;          
D011300175;1;1;M;20;CD;F;AU;SA;4;          
D011300176;1;1;M;56;PD;F;AU;BR;8;          
D011300177;1;1;M;23;PD;F;AU;SA;3;          
D011300178;1;1;F;46;PD;F;AU;BR;5;          
D011300179;1;1;F;57;PD;F;MO;BR;7;          
D011300180;1;1;M;57;PD;F;MO;BR;8;          
D011300181;1;1;F;45;PD;F;SI;BR;8;          
D011300182;1;1;F;41;PD;F;AU;BR;3;          
D011300183;1;1;M;34;CD;F;MO;BR;3;          
D011300184;1;1;F;55;PS;F;OU;BR;2;          
D011300185;1;1;F;21;PD;F;AU;BR;5;          
D011300186;1;1;F;60;PD;F;MO;BR;6;          
D011300187;1;2;M;33;CD;F;MO;BR;6;          
D011300188;1;2;M;39;CD;F;MO;BR;7;          
D011300189;1;1;M;48;PS;F;AU;BR;5;          
D011300190;1;1;F;39;CD;F;CM;BR;7;          
D011300190;2;1;M;37;PS;F;CM;BR;5;          
D011300191;1;1;M;27;CD;F;AU;BR;3;          
D011300192;1;2;F;50;CD;F;AU;BR;7;          
D011300193;1;2;M;23;CD;F;MO;BR;5;          
D011300194;1;2;M;71;PS;F;MO;BR;8;          
