Groups, Gene1, Gene2, Sigmma_diag, C, gamma, errors
braca1_x_not_braca1, 1663, 1566, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1509, 1150, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2067, 278, 0.1, 3.98107170553, 100.0, 0.422666666667
braca1_x_not_braca1, 2628, 2681, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1187, 2506, 0.1, 3.98107170553, 100.0, 0.348181818182
braca1_x_braca2, 2580, 2815, 0.1, 63.095734448, 0.1, 0.301333333333
braca1_x_not_braca1, 670, 2393, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 1409, 2610, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2762, 2397, 0.1, 3.98107170553, 10.0, 0.397333333333
braca1_x_not_braca1, 3223, 222, 0.1, 3.98107170553, 1.0, 0.250909090909
braca2_x_not_braca2, 2613, 1593, 0.1, 63.095734448, 1.0, 0.329090909091
braca1_x_braca2, 216, 2352, 0.1, 63.095734448, 0.1, 0.341333333333
braca1_x_not_braca1, 2145, 3129, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2179, 1491, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 87, 1514, 0.1, 3.98107170553, 0.1, 0.121333333333
braca1_x_not_braca1, 2521, 570, 0.1, 3.98107170553, 100.0, 0.308181818182
braca2_x_not_braca2, 33, 734, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 3001, 353, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 477, 828, 0.1, 63.095734448, 0.1, 0.149090909091
braca2_x_not_braca2, 1692, 1701, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 764, 3127, 0.1, 0.001, 10.0, 0.466666666667
braca1_x_not_braca1, 1945, 2516, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2317, 2078, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 119, 1570, 0.1, 3.98107170553, 10.0, 0.362666666667
braca1_x_not_braca1, 451, 980, 0.1, 1000.0, 0.01, 0.249090909091
braca2_x_not_braca2, 1594, 2200, 0.1, 3.98107170553, 10.0, 0.335454545455
braca1_x_braca2, 2098, 1052, 0.1, 0.001, 100.0, 0.466666666667
braca1_x_not_braca1, 2748, 1114, 0.1, 3.98107170553, 0.1, 0.205454545455
braca2_x_not_braca2, 3095, 1699, 0.1, 63.095734448, 1.0, 0.313636363636
braca1_x_braca2, 1675, 2064, 0.1, 3.98107170553, 0.1, 0.202666666667
braca1_x_not_braca1, 1262, 72, 0.1, 0.001, 0.01, 0.318181818182
braca2_x_not_braca2, 2060, 650, 0.1, 3.98107170553, 10.0, 0.243636363636
braca1_x_braca2, 2967, 267, 0.1, 3.98107170553, 1.0, 0.150666666667
braca1_x_not_braca1, 3072, 1894, 0.1, 3.98107170553, 1.0, 0.171818181818
braca2_x_not_braca2, 1554, 2566, 0.1, 63.095734448, 1.0, 0.404545454545
braca1_x_braca2, 3144, 89, 0.1, 0.001, 0.01, 0.466666666667
braca1_x_not_braca1, 3221, 1252, 0.1, 3.98107170553, 10.0, 0.351818181818
braca2_x_not_braca2, 2614, 2952, 0.1, 3.98107170553, 100.0, 0.32
braca1_x_braca2, 862, 2049, 0.1, 63.095734448, 10.0, 0.285333333333
braca1_x_not_braca1, 2067, 1201, 0.1, 63.095734448, 0.01, 0.28
braca2_x_not_braca2, 1308, 2332, 0.1, 0.001, 0.01, 0.318181818182
braca1_x_braca2, 2612, 1001, 0.1, 3.98107170553, 0.01, 0.316
