1, 1
2, 1
3, 7
4, 8
5, 8
6, 9
7, 9
8, 9
9, 10
10, 10
11, 11
12, 12
13, 13
14, 17
15, 34
16, 38
17, 40
18, 41
19, 41
20, 46
21, 46
22, 46
23, 47
24, 50
25, 54
26, 55
27, 71
28, 72
29, 79
30, 81
31, 82
32, 83
33, 87
34, 89
35, 92
36, 97
37, 99
38, 99
39, 100
40, 102
41, 107
42, 108
43, 109
44, 110
45, 111
46, 118
47, 122
48, 124
49, 126
50, 154
51, 173
52, 189
53, 192
54, 201
55, 202
56, 204
57, 207
58, 209
59, 211
60, 214
61, 221
62, 224
63, 231
64, 235
65, 235
66, 237
67, 249
68, 251
69, 314
70, 323
71, 324
72, 324
73, 329
74, 330
75, 330
76, 331
77, 335
78, 335
79, 337
80, 337
81, 339
82, 340
83, 345
84, 348
85, 350
86, 352
87, 353
88, 353
89, 354
90, 364
91, 381
92, 391
93, 663
94, 664
95, 688
96, 693
97, 746
98, 756
99, 763
100, 775
101, 778
102, 781
103, 787
104, 790
105, 791
106, 791
107, 794
108, 797
109, 802
110, 804
111, 806
112, 814
113, 815
114, 816
115, 827
116, 830
117, 834
118, 836
119, 847
120, 848
121, 1133
122, 1161
123, 1162
124, 1163
125, 1164
126, 1170
127, 1172
128, 1175
129, 1181
130, 1182
131, 1184
132, 1186
133, 1188
134, 1188
135, 1188
136, 1190
137, 1190
138, 1193
139, 1197
140, 1198
141, 1199
142, 1201
143, 1204
144, 1205
145, 1209
146, 1210
147, 1215
148, 1221
149, 1232
150, 1233
151, 1237
152, 1238
153, 1255
154, 1265
155, 1271
156, 1275
157, 2307
158, 2326
159, 2345
160, 2347
161, 2348
162, 2353
163, 2356
164, 2373
165, 2377
166, 2384
167, 2385
168, 2388
169, 2389
170, 2390
171, 2390
172, 2393
173, 2396
174, 2397
175, 2399
176, 2402
177, 2403
178, 2407
179, 2407
180, 2414
181, 2420
182, 2424
183, 2427
184, 2432
185, 2435
186, 2438
187, 2442
188, 2443
189, 2463
190, 2484
191, 2488
192, 2493
193, 2909
194, 2951
195, 2958
196, 2959
197, 2971
198, 3005
199, 3011
200, 3045
201, 3057
202, 3060
203, 3064
204, 3073
205, 3940
206, 3962
207, 3968
208, 3969
209, 3998
210, 4008
211, 4026
212, 4039
213, 4061
214, 4077
215, 4077
216, 4122
217, 4687
218, 4713
219, 4725
220, 4726
221, 4757
222, 4770
223, 4832
224, 4839
225, 4862
226, 4873
227, 4939
228, 5013
229, 5928
230, 5970
231, 5999
232, 6004
233, 6060
234, 6084
235, 7107
236, 7132
237, 7139
238, 7155
239, 7207
240, 7219
241, 7224
242, 7228
243, 7269
244, 7270
245, 7334
246, 7356
247, 11839
248, 11878
249, 11896
250, 11913
251, 11915
252, 11942
253, 11948
254, 11964
255, 11974
256, 11986
257, 11997
258, 11999
259, 12017
260, 12027
261, 12041
262, 12045
263, 12049
264, 12054
265, 12061
266, 12063
267, 12113
268, 12126
269, 12132
270, 12182
271, 15947
272, 15957
273, 15992
274, 16208
275, 17733
276, 18066
277, 18091
278, 18195
279, 23851
280, 23869
281, 23979
282, 24017
283, 24169
284, 24209
